id;tc_id;phone;enabled;sex;customer_id;company_id
1;41616326156;"+906037438014";false;Male;2;1
2;50898178471;"+908387629859";true;Female;2;2
3;72710812182;"+903486035677";false;Female;1;3
4;10478914349;"+907277793264";true;Female;1;4
5;66451808044;"+903950507228";true;Female;1;5
6;35252332603;"+907548318821";false;Female;1;6
7;70961411069;"+903946051186";true;Male;2;7
8;46703235926;"+901914863917";false;Female;2;8
9;68704615072;"+905675527653";false;Male;1;9
10;70279973950;"+908810845874";false;Female;2;10
